HS 1996 Product Code,HS 1996 Product Description,MTN Categories Product Code,MTN Categories Product Description
481840,"Sanitary towels and tampons, napkins and napkin liners for babies and similar sanitary articles",0103,"Wood, pulp, paper & furniture, finished manufactur"
481850,Articles of apparel and clothing accessories,0103,"Wood, pulp, paper & furniture, finished manufactur"
481890,Other,0103,"Wood, pulp, paper & furniture, finished manufactur"
481910,"Cartons, boxes and cases, of corrugated paper or paperboard",0103,"Wood, pulp, paper & furniture, finished manufactur"
481920,"Folding cartons, boxes and cases, of non-corrugated paper or paperboard",0103,"Wood, pulp, paper & furniture, finished manufactur"
481930,"Sacks and bags, having a base of a width of 40 cm or more",0103,"Wood, pulp, paper & furniture, finished manufactur"
481940,"Other sacks and bags, including cones",0103,"Wood, pulp, paper & furniture, finished manufactur"
481950,"Other packing containers, including record sleeves",0103,"Wood, pulp, paper & furniture, finished manufactur"
481960,"Box files, letter trays, storage boxes and similar articles, of a kind used in offices, shops or the like",0103,"Wood, pulp, paper & furniture, finished manufactur"
482010,"Registers, account books, note books, order books, receipt books, letter pads, memorandum pads, diaries and similar articles",0103,"Wood, pulp, paper & furniture, finished manufactur"
482020,Exercise books,0103,"Wood, pulp, paper & furniture, finished manufactur"
482030,"Binders (other than book covers), folders and file covers",0103,"Wood, pulp, paper & furniture, finished manufactur"
482040,Manifold business forms and interleaved carbon sets,0103,"Wood, pulp, paper & furniture, finished manufactur"
482050,Albums for samples or for collections,0103,"Wood, pulp, paper & furniture, finished manufactur"
482090,Other,0103,"Wood, pulp, paper & furniture, finished manufactur"
482110,Printed,0103,"Wood, pulp, paper & furniture, finished manufactur"
482190,Other,0103,"Wood, pulp, paper & furniture, finished manufactur"
482210,Of a kind used for winding textile yarn,0103,"Wood, pulp, paper & furniture, finished manufactur"
482290,Other,0103,"Wood, pulp, paper & furniture, finished manufactur"
482311,"Gummed or adhesive paper, in strips or rolls :-- Self-adhesive",0103,"Wood, pulp, paper & furniture, finished manufactur"
482319,"Gummed or adhesive paper, in strips or rolls :-- Other",0103,"Wood, pulp, paper & furniture, finished manufactur"
482320,Filter paper and paperboard,0103,"Wood, pulp, paper & furniture, finished manufactur"
482340,"Rolls, sheets and dials, printed for self-recording apparatus",0103,"Wood, pulp, paper & furniture, finished manufactur"
482351,"Other paper and paperboard, of a kind used for writing, printing or other graphic purposes :-- Printed, embossed or perforated",0103,"Wood, pulp, paper & furniture, finished manufactur"
482359,"Other paper and paperboard, of a kind used for writing, printing or other graphic purposes :-- Other",0103,"Wood, pulp, paper & furniture, finished manufactur"
482360,"Trays, dishes, plates, cups and the like, of paper or paperboard",0103,"Wood, pulp, paper & furniture, finished manufactur"
482370,Moulded or pressed articles of paper pulp,0103,"Wood, pulp, paper & furniture, finished manufactur"
482390,Other,0103,"Wood, pulp, paper & furniture, finished manufactur"
490110,"In single sheets, whether or not folded",0103,"Wood, pulp, paper & furniture, finished manufactur"
490191,"Other :-- Dictionaries and encyclopaedias, and serial instalments thereof",0103,"Wood, pulp, paper & furniture, finished manufactur"
490199,Other,0103,"Wood, pulp, paper & furniture, finished manufactur"
490210,Appearing at least four times a week,0103,"Wood, pulp, paper & furniture, finished manufactur"
490290,Other,0103,"Wood, pulp, paper & furniture, finished manufactur"
490300,"Children's picture, drawing or colouring books.",0103,"Wood, pulp, paper & furniture, finished manufactur"
490400,"Music, printed or in manuscript, whether or not bound or illustrated.",0103,"Wood, pulp, paper & furniture, finished manufactur"
490510,Globes,0103,"Wood, pulp, paper & furniture, finished manufactur"
490591,Other :-- In book form,0103,"Wood, pulp, paper & furniture, finished manufactur"
490599,Other,0103,"Wood, pulp, paper & furniture, finished manufactur"
490600,"Plans and drawings for architectural, engineering, industrial, commercial, topographical or similar purposes, being originals drawn by hand; hand-written texts; photographic reproductions on sensitised paper and carbon",0103,"Wood, pulp, paper & furniture, finished manufactur"
490700,"Unused postage, revenue or similar stamps of current or new issue in the country to which they are destined; stamp-impressed paper; banknotes; cheque forms; stock, share or bond certificates and similar documents of ti",0103,"Wood, pulp, paper & furniture, finished manufactur"
490810,"Transfers (decalcomanias), vitrifiable",0103,"Wood, pulp, paper & furniture, finished manufactur"
490890,Other,0103,"Wood, pulp, paper & furniture, finished manufactur"
490900,"Printed or illustrated postcards; printed cards bearing personal greetings, messages or announcements, whether or not illustrated, with or without envelopes or trimmings.",0103,"Wood, pulp, paper & furniture, finished manufactur"
491000,"Calendars of any kind, printed, including calendar blocks.",0103,"Wood, pulp, paper & furniture, finished manufactur"
491110,"Trade advertising material, commercial catalogues and the like",0103,"Wood, pulp, paper & furniture, finished manufactur"
491191,"Other :-- Pictures, designs and photographs",0103,"Wood, pulp, paper & furniture, finished manufactur"
491199,Other,0103,"Wood, pulp, paper & furniture, finished manufactur"
940110,Seats of a kind used for aircraft,0103,"Wood, pulp, paper & furniture, finished manufactur"
940120,Seats of a kind used for motor vehicles,0103,"Wood, pulp, paper & furniture, finished manufactur"
