HS 1988/92 Product Code,HS 1988/92 Product Description,BEC Product Code,BEC Product Description
282732,Aluminium chloride,22,Processed
282733,Iron chloride,22,Processed
282734,Cobalt chloride,22,Processed
282735,Nickel chloride,22,Processed
282736,Zinc chloride,22,Processed
282737,Tin chloride,22,Processed
282738,Barium chloride,22,Processed
282739,"Chlorides, nes",22,Processed
282741,Chloride oxides and chloride hydroxides of copp,22,Processed
282749,Chloride oxides and chloride hydroxides (excl.,22,Processed
282751,Bromides of sodium or of potassium,22,Processed
282759,Bromides and bromide oxides (excl. of sodium an,22,Processed
282760,Iodides and iodide oxides,22,Processed
282810,Commercial calcium hypochlorite and other calci,22,Processed
282890,Hypochlorites (excl. of calcium) and chlorites;,22,Processed
282911,Chlorates of sodium,22,Processed
282919,Chlorates (excl. of sodium),22,Processed
282990,Perchlorates; bromates and perbromates; iodates,22,Processed
283010,Sodium sulphides,22,Processed
283020,Zinc sulphide,22,Processed
283030,Cadmium sulphide,22,Processed
283090,Other sulphides and polysulphides,22,Processed
283110,Dithionites and sulphoxylates of sodium,22,Processed
283190,Dithionites and sulphoxylates (excl. of sodium),22,Processed
283210,Sodium sulphites,22,Processed
283220,Sulphites (excl. sodium),22,Processed
283230,Thiosulphates,22,Processed
283311,Disodium sulphate,22,Processed
283319,Sodium sulphates (excl. disodium sulphate),22,Processed
283321,Sulphates of magnesium,22,Processed
283322,Sulphates of aluminium,22,Processed
283323,Sulphates of chromium,22,Processed
283324,Sulphates of nickel,22,Processed
283325,Sulphates of copper,22,Processed
283326,Sulphates of zinc,22,Processed
283327,Sulphates of barium,22,Processed
283329,"Other sulphates, nes",22,Processed
283330,Alums,22,Processed
283340,Peroxosulphates (persulphates),22,Processed
283410,Nitrites,22,Processed
283421,Nitrates of potassium,22,Processed
283422,Nitrates of bismuth,22,Processed
283429,Nitrates of barium; of beryllium; of cadmium; o,22,Processed
283510,Phosphinates and phosphonates,22,Processed
283521,Phosphates of triammonium,22,Processed
283522,Phosphates of mono or disodium,22,Processed
283523,Phosphates of trisodium,22,Processed
283524,Phosphates of potassium,22,Processed
283525,Calcium hydrogenorthophosphate (dicalcium phosp,22,Processed
283526,"Phosphates of calcium, nes",22,Processed
283529,Phosphates (excl. polyphosphates),22,Processed
283531,Sodium triphosphate (sodium tripolyphosphates),22,Processed
283539,"Polyphosphates, nes",22,Processed
283610,Commercial ammonium carbonate and other ammoniu,22,Processed
283620,Disodium carbonate,22,Processed
283630,Sodium hydrogencarbonate (sodium bicarbonate),22,Processed
283640,Potassium carbonates,22,Processed
283650,Calcium carbonate,22,Processed
283660,Barium carbonate,22,Processed
283670,Lead carbonate,22,Processed
283691,Lithium carbonates,22,Processed
283692,Strontium carbonate,22,Processed
