HS 1996 Product Code,HS 1996 Product Description,BEC Product Code,BEC Product Description
281620,"Oxide, hydroxide and peroxide of strontium",22,Processed
281630,"Oxide, hydroxide and peroxide of barium",22,Processed
281700,Zinc oxide; zinc peroxide,22,Processed
281810,"Artificial corundum, whether or not chemically defined",22,Processed
281820,Aluminium oxide; other than artificial corundum,22,Processed
281830,Aluminium hydroxide,22,Processed
281910,Chromium trioxide,22,Processed
281990,Other,22,Processed
282010,Manganese dioxide,22,Processed
282090,Other,22,Processed
282110,Iron oxides and hydroxides,22,Processed
282120,Earth colours,22,Processed
282200,Cobalt oxides and hydroxides; commercial cobalt oxides,22,Processed
282300,Titanium oxides,22,Processed
282410,"Lead monoxide (litharge, massicot)",22,Processed
282420,Red lead and orange lead,22,Processed
282490,Other,22,Processed
282510,Hydrazine and hydroxylamine and their inorgani salts,22,Processed
282520,Lithium oxide and hydroxide,22,Processed
282530,Vanadium oxides and hydroxides,22,Processed
282540,Nickel oxides and hydroxides,22,Processed
282550,Copper oxides and hydroxides,22,Processed
282560,Germanium oxides and zirconium dioxide,22,Processed
282570,Molybdenum oxides and hydroxides,22,Processed
282580,Antimony oxides,22,Processed
282590,Other,22,Processed
282611,Fluorides:-- Of ammonium or of sodium,22,Processed
282612,Fluorides:-- Of aluminium,22,Processed
282619,Fluorides:-- Other,22,Processed
282620,Fluorosilicates of sodium or of potassium,22,Processed
282630,Sodium hexafluoroaluminate (synthetic cryolite),22,Processed
282690,Other,22,Processed
282710,Ammonium chloride,22,Processed
282720,Calcium chloride,22,Processed
282731,Other chlorides:-- Of magnesium,22,Processed
282732,Other chlorides:-- Of aluminium,22,Processed
282733,Other chlorides:-- Of iron,22,Processed
282734,Other chlorides:-- Of cobalt,22,Processed
282735,Other chlorides:-- Of nickel,22,Processed
282736,Other chlorides:-- Of zinc,22,Processed
282738,Other chlorides:-- Of barium,22,Processed
282739,Other chlorides:-- Other,22,Processed
282741,Chloride oxides and chloride hydroxides:-- Of copper,22,Processed
282749,Chloride oxides and chloride hydroxides:-- Other,22,Processed
282751,Bromides and bromide oxides:-- Bromides of sodium or of potassium,22,Processed
282759,Bromides and bromide oxides:-- Other,22,Processed
282760,Iodides and iodide oxides,22,Processed
282810,Commercial calcium hypochlorite and other calcium hypochlorites,22,Processed
282890,Other,22,Processed
282911,Chlorates:-- Of sodium,22,Processed
282919,Chlorates:-- Other,22,Processed
282990,Other,22,Processed
283010,Sodium sulphides,22,Processed
283020,Zinc sulphide,22,Processed
283030,Cadmium sulphide,22,Processed
283090,Other,22,Processed
283110,Of sodium,22,Processed
283190,Other,22,Processed
283210,Sodium sulphites,22,Processed
283220,Other sulphites,22,Processed
283230,Thiosulphates,22,Processed
