HS - Combined  Product Code,HS - Combined  Product Description,BEC Product Code,BEC Product Description
110814,Manioc (cassava) starch,22,Processed
110819,Other starches,22,Processed
110820,Inulin,22,Processed
130231,Agaragar,22,Processed
130232,"Mucilages and thickeners, whether or not modified, derived from locust beans, locust bean seeds or guar seeds",22,Processed
130239,Other,22,Processed
150100,"Pig fat (including lard) and poultry fat, other than that of heading 02.09 or 15.03.",22,Processed
150200,"Fats of bovine animals, sheep or goats, other than those of heading 15.03.",22,Processed
150300,"Lard stearin, lard oil, oleostearin, oleooil and tallow oil, not emulsified or mixed or otherwise prepared.",22,Processed
150410,Fishliver oils and their fractions,22,Processed
150500,(2002-) Wool grease and fatty substances derived therefrom (including lanolin).,22,Processed
150510,"(-2001) Wool grease, crude",22,Processed
150590,(-2001) Other,22,Processed
150600,"Other animal fats and oils and their fractions, whether or not refined, but not chemically modified.",22,Processed
151110,Crude oil,22,Processed
151211,Crude oil,22,Processed
151219,Other,22,Processed
151311,Crude oil,22,Processed
151321,Crude oil,22,Processed
151410,(-2001) Crude oil,22,Processed
151411,(2002-) Crude oil,22,Processed
151491,(2002-) Crude oil,22,Processed
151511,Crude oil,22,Processed
151519,Other,22,Processed
151521,Crude oil,22,Processed
151530,Castor oil and its fractions,22,Processed
151540,(-2006) Tung oil and its fractions,22,Processed
151560,(-2001) Jojoba oil and its fractions,22,Processed
151590,Other,22,Processed
151800,"Animal or vegetable fats and oils and their fractions, boiled, oxidised, dehydrated, sulphurised, blown, polymerised by heat in vacuum or in inert gas or otherwise chemically modified, excluding those of heading 15.16; inedible mixtures or preparations of",22,Processed
151911,(-1995) Indus.monocarboxylic fatty acids;acid oils,22,Processed
151912,(-1995) Indus.monocarboxylic fatty acids;acid oils,22,Processed
151913,(-1995) Indus.monocarbox.fatty acids;acid oils fro,22,Processed
151919,(-1995) Industrial monocarboxylic fatty acids;acid,22,Processed
151920,(-1995) Industrial fatty alcohols,22,Processed
152000,"(1996-) Glycerol, crude; glycerol waters and glycerol lyes.",22,Processed
152010,"(-1995) Glycerol (glycerine), crude, glycerol wate",22,Processed
152090,"(-1995) Glycerol (excl. crude), including syntheti",22,Processed
152110,Vegetable waxes,22,Processed
152190,Other,22,Processed
220710,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,22,Processed
220720,"Ethyl alcohol and other spirits, denatured, of any strength",22,Processed
230110,"Flours, meals and pellets, of meat or meat offal; greaves",22,Processed
230120,"Flours, meals and pellets, of fish or of crustaceans, molluscs or other aquatic invertebrates",22,Processed
230400,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soyabean oil.",22,Processed
230500,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of groundnut oil.",22,Processed
230610,Of cotton seeds,22,Processed
230620,Of linseed,22,Processed
230630,Of sunflower seeds,22,Processed
230640,(-2001) Of rape or colza seeds,22,Processed
230641,(2002-) Of low erucic acid rape or colza seeds,22,Processed
230649,(2002-) Other,22,Processed
230650,Of coconut or copra,22,Processed
230660,Of palm nuts or kernels,22,Processed
230670,(1996-2006) Of maize (corn) germ,22,Processed
230690,Other,22,Processed
230910,"Dog or cat food, put up for retail sale",22,Processed
230990,Other,22,Processed
252020,Plasters,22,Processed
252210,Quicklime,22,Processed
252220,Slaked lime,22,Processed
252230,Hydraulic lime,22,Processed
252310,Cement clinkers,22,Processed
252321,"White cement, whether or not artificially coloured",22,Processed
252329,Other,22,Processed
252330,Aluminous cement,22,Processed
252390,Other hydraulic cements,22,Processed
270600,"Tar distilled from coal, from lignite or from peat, and other mineral tars, whether or not dehydrated or partially distilled, including reconstituted tars.",22,Processed
270710,Benzol (benzene),22,Processed
270720,Toluol (toluene),22,Processed
270730,Xylol (xylenes),22,Processed
270740,Naphthalene,22,Processed
270750,Other aromatic hydrocarbon mixtures of which 65 % or more by volume (including losses) distils at 250 °C by the ASTM D 86 method,22,Processed
270760,(-2006) Phenols,22,Processed
270791,Creosote oils,22,Processed
270799,Other,22,Processed
270810,Pitch,22,Processed
