HS 1988/92 Product Code,HS 1988/92 Product Description,MTN Categories Product Code,MTN Categories Product Description
940370,"Furniture, plastic, nes",0103,"Wood, pulp, paper & furniture, finished manufactur"
940380,"Furniture of oth materials,including cane,osier",0103,"Wood, pulp, paper & furniture, finished manufactur"
940390,Furniture parts nes,0103,"Wood, pulp, paper & furniture, finished manufactur"
940410,Mattress supports,0103,"Wood, pulp, paper & furniture, finished manufactur"
940421,"Mattresses of cellular rubber or plastics, whet",0103,"Wood, pulp, paper & furniture, finished manufactur"
940429,Mattresses fitted with springs or stuffed or in,0103,"Wood, pulp, paper & furniture, finished manufactur"
940430,Sleeping bags,0103,"Wood, pulp, paper & furniture, finished manufactur"
510400,Garnetted stock of wool or of fine or coarse an,0201,"Textiles & clothing, raw materials"
510510,Carded wool,0201,"Textiles & clothing, raw materials"
510521,Combed wool in fragments,0201,"Textiles & clothing, raw materials"
510529,Wool tops and combed wool (excl. in fragments),0201,"Textiles & clothing, raw materials"
510530,"Fine animal hair, carded or combed",0201,"Textiles & clothing, raw materials"
510540,"Coarse animal hair, carded or combed",0201,"Textiles & clothing, raw materials"
530310,"Jute, etc (excl. flax, true hemp and ramie), ra",0201,"Textiles & clothing, raw materials"
530390,"Jute, etc (excl. flax, true hemp and ramie), ne",0201,"Textiles & clothing, raw materials"
530410,Sisal and other textile fibres of the genus Aga,0201,"Textiles & clothing, raw materials"
530490,"Sisal, etc (excl. raw), not spun; tow and waste",0201,"Textiles & clothing, raw materials"
530511,Raw coconut fibres,0201,"Textiles & clothing, raw materials"
530519,"Processed coconut fibres; tow, noils and waste",0201,"Textiles & clothing, raw materials"
530521,Raw albaca fibres,0201,"Textiles & clothing, raw materials"
530529,"Processed abaca fibres; tow, noils and waste of",0201,"Textiles & clothing, raw materials"
530591,"Raw ramie and other vegetable textile fibres, n",0201,"Textiles & clothing, raw materials"
530599,"Processed ramie, etc, nes; tow, noils and waste",0201,"Textiles & clothing, raw materials"
550110,Synthetic filament tow of nylon or other polyam,0201,"Textiles & clothing, raw materials"
550120,Synthetic filament tow of polyesters,0201,"Textiles & clothing, raw materials"
550130,"Synthetic filament tow, acrylic or modacrylic",0201,"Textiles & clothing, raw materials"
550190,"Synthetic filament tow, nes",0201,"Textiles & clothing, raw materials"
