HS 1988/92 Product Code,HS 1988/92 Product Description,GTAP Product Code,GTAP Product Description
060410,"Moses and lichens for ornamental purposes, fres",13,FRS - Forestry
060491,"Fresh parts of plants, without flowers or buds,",13,FRS - Forestry
060499,"Parts of plants, without flowers or buds, for o",13,FRS - Forestry
130110,Lac,13,FRS - Forestry
130120,Natural Gum Arabic,13,FRS - Forestry
130190,"Natural gums, resins, gum-resins and balsams (e",13,FRS - Forestry
140110,Bamboos,13,FRS - Forestry
140120,Rattans,13,FRS - Forestry
140190,"Vegetable materials for plaiting, (excl. bamboo",13,FRS - Forestry
140210,Kapok,13,FRS - Forestry
140291,Vegetable hair,13,FRS - Forestry
140299,"Vegetable materials for stuffing or padding, ne",13,FRS - Forestry
140410,Raw vegetable materials primarily for dyeing or,13,FRS - Forestry
140490,"Vegetable products, nes",13,FRS - Forestry
400130,"Balata, gutta-percha... and similar gums, in pr",13,FRS - Forestry
440110,"Fuel wood, in logs, in billets... or in similar",13,FRS - Forestry
440320,Untreated coniferous wood in the rough...,13,FRS - Forestry
440331,"Dark Red Meranti, Light Red Meranti and Meranti",13,FRS - Forestry
440332,"White Lauan, White Meranti, White Seraya, Yello",13,FRS - Forestry
440333,"Keruing, Ramin, Kapur, Teak, Jongkong, Merbau,",13,FRS - Forestry
440334,"Okoume, Obeche, Sapeli, Sipo, Acajou d'Afrique,",13,FRS - Forestry
440335,"Tiama, Mansonia, Ilomba, Dibetou, Limba and Azo",13,FRS - Forestry
440391,"Oak (Quercus spp.) wood in the rough, (excl. tr",13,FRS - Forestry
440392,"Beech (Fagus spp.) wood in the rough, (excl. tr",13,FRS - Forestry
440399,"Wood, nes in the rough..., (excl. treated)",13,FRS - Forestry
440410,"Coniferous hoopwood; split poles, etc; wooden s",13,FRS - Forestry
440420,"Non-coniferous hoopwood; split poles, etc; wood",13,FRS - Forestry
450110,"Natural cork, raw or simply prepared",13,FRS - Forestry
030110,Live ornamental fish,14,FSH - Fishing
030191,Live trout,14,FSH - Fishing
030192,Live eels,14,FSH - Fishing
030193,Live carp,14,FSH - Fishing
030199,Other live fish,14,FSH - Fishing
030211,Fresh or chilled trout,14,FSH - Fishing
030212,"Fresh or chilled Pacific, Atlantic and Danube s",14,FSH - Fishing
030219,Fresh or chilled salmonidae (excl. 0302.11 and,14,FSH - Fishing
030221,Fresh or chilled halibut,14,FSH - Fishing
030222,Fresh or chilled plaice,14,FSH - Fishing
030223,Fresh or chilled sole,14,FSH - Fishing
030229,"Fresh or chilled flat fish (excl. halibut, plai",14,FSH - Fishing
030231,Fresh or chilled albacore or longfinned tunas,14,FSH - Fishing
030232,Fresh or chilled yellowfin tunas,14,FSH - Fishing
030233,Fresh or chilled skipjack or stripe-bellied bon,14,FSH - Fishing
030239,"Fresh or chilled tunas, nes",14,FSH - Fishing
030240,Fresh or chilled herrings (excl. livers and roe,14,FSH - Fishing
030250,Fresh or chilled cod (excl. livers and roes),14,FSH - Fishing
030261,"Fresh or chilled sardines, brisling or sparts",14,FSH - Fishing
030262,Fresh or chilled haddock,14,FSH - Fishing
030263,Fresh or chilled coalfish,14,FSH - Fishing
030264,Fresh or chilled mackerel,14,FSH - Fishing
030265,Fresh or chilled dogfish and other sharks,14,FSH - Fishing
030266,Fresh or chilled eels,14,FSH - Fishing
030269,"Fresh or chilled fish, nes",14,FSH - Fishing
030621,Rock lobster and other sea crawfish (excl. froz,14,FSH - Fishing
030622,Lobsters (excl.frozen),14,FSH - Fishing
030623,Shrimps and prawns (excl. frozen),14,FSH - Fishing
030624,Crabs (excl.frozen),14,FSH - Fishing
030629,"Crustaceans not frozen,nes,includ.flours,meals,",14,FSH - Fishing
030710,Oysters,14,FSH - Fishing
030721,"Scallops, live, fresh or chilled",14,FSH - Fishing
030731,"Mussels, live, fresh or chilled",14,FSH - Fishing
030741,"Cuttle fish and squid, live, fresh or chilled",14,FSH - Fishing
030751,"Octopus live, fresh or chilled",14,FSH - Fishing
030791,"Aquatic invertebrates, nes, live, fresh or chil",14,FSH - Fishing
050800,"Coral; shells of molluscs, crustaceans, unworke",14,FSH - Fishing
050900,Natural sponges of animal origin,14,FSH - Fishing
121220,Seaweeds and other algae used for human consump,14,FSH - Fishing
710110,Pearls natural whether or not worked or graded,14,FSH - Fishing
710121,Pearls cultured unworked,14,FSH - Fishing
270111,"Anthracite, not agglomerated",15,COA - Coal
270112,"Bituminous coal, not agglomerated",15,COA - Coal
270119,"Other coal, not agglomerated, nes",15,COA - Coal
270120,"Briquettes, ovoids and similar solid fuels manu",15,COA - Coal
270210,"Lignite, not agglomerated",15,COA - Coal
270220,Agglomerated lignite,15,COA - Coal
270900,Petroleum oils and oils obtained from bituminou,16,OIL - Oil
271410,Bituminous or oil shale and tar sands,16,OIL - Oil
271111,"Natural gas, liquefied",17,GAS - Gas
271121,Natural gas in gaseous state,17,GAS - Gas
250100,Salt and pure sodium chloride; sea water,18,OMN - Minerals n.e.c.
250200,Unroasted iron pyrites,18,OMN - Minerals n.e.c.
250310,Crude or unrefined sulphur,18,OMN - Minerals n.e.c.
250410,Natural graphite in powder or in flakes,18,OMN - Minerals n.e.c.
250490,Other natural graphite (excl. in powder or in f,18,OMN - Minerals n.e.c.
250510,Silica sands and quartz sands,18,OMN - Minerals n.e.c.
250590,"Natural sands, (excl. metal-bearing sands of Ch",18,OMN - Minerals n.e.c.
250610,Quartz,18,OMN - Minerals n.e.c.
250621,Crude or roughly trimmed quartzite,18,OMN - Minerals n.e.c.
250629,Quartzite cut into rectangular blocks or slabs,18,OMN - Minerals n.e.c.
250700,"Kaolin and other kaolinic clays, whether or not",18,OMN - Minerals n.e.c.
250810,Bentonite,18,OMN - Minerals n.e.c.
250820,Decolourizing earths and fuller's earth,18,OMN - Minerals n.e.c.
250830,Fire-clay,18,OMN - Minerals n.e.c.
250840,"Other clays, nes",18,OMN - Minerals n.e.c.
250850,"Andalusite, kyanite and sillimanite",18,OMN - Minerals n.e.c.
250860,Mullite,18,OMN - Minerals n.e.c.
250870,Chamotte or dinas earths,18,OMN - Minerals n.e.c.
250900,Chalk,18,OMN - Minerals n.e.c.
251010,"Unground natural calcium phosphates, aluminium",18,OMN - Minerals n.e.c.
251020,"Ground natural calcium phosphates, aluminium ca",18,OMN - Minerals n.e.c.
251110,Natural barium sulphate (barytes),18,OMN - Minerals n.e.c.
251120,Natural barium carbonate (whitherite),18,OMN - Minerals n.e.c.
251200,"Siliceous fossil meals (kieselguhr, tripolite,",18,OMN - Minerals n.e.c.
251311,"Pumice stone, crude or in irregular pieces, (in",18,OMN - Minerals n.e.c.
251319,"Other pumice stone, nes",18,OMN - Minerals n.e.c.
251321,"Emery... and other natural abrasives, crude or",18,OMN - Minerals n.e.c.
251329,"Emery... and other natural abrasives, nes",18,OMN - Minerals n.e.c.
251400,"Slate, crude, roughly trimmed or merely cut",18,OMN - Minerals n.e.c.
251511,Marble and travertine crude or roughly trimmed,18,OMN - Minerals n.e.c.
251512,Marble and travertine merely cut into a square,18,OMN - Minerals n.e.c.
251520,Ecaussine and other calcarcous building stone;,18,OMN - Minerals n.e.c.
251611,"Granite, crude or roughly trimmed",18,OMN - Minerals n.e.c.
251612,"Granite, merely cut into a square or rectangula",18,OMN - Minerals n.e.c.
251621,"Sandstone, crude or roughly trimmed",18,OMN - Minerals n.e.c.
251622,"Sandstone, merely cut into a square or rectangu",18,OMN - Minerals n.e.c.
251690,"Porphyry, sylnite, etc, merely cut into a squar",18,OMN - Minerals n.e.c.
251710,"Pebbles, gravel, shingle and flint",18,OMN - Minerals n.e.c.
251720,"Macadam of slag, dross or similar industrial wa",18,OMN - Minerals n.e.c.
251730,Tarred macadam,18,OMN - Minerals n.e.c.
251741,"Marble granules, chippings and powder",18,OMN - Minerals n.e.c.
251749,"Granules, chippings and powder of stones (excl.",18,OMN - Minerals n.e.c.
251810,Dolomite not calcined,18,OMN - Minerals n.e.c.
251910,Natural magnesium carbonate (magnesite),18,OMN - Minerals n.e.c.
251990,Magnesia and other magnesium oxide,18,OMN - Minerals n.e.c.
252010,Gypsum; anhydrite,18,OMN - Minerals n.e.c.
252100,Limestone flux; limestone and other calcareous,18,OMN - Minerals n.e.c.
252400,Asbestos,18,OMN - Minerals n.e.c.
252510,Crude mica and mica rifted into sheets or split,18,OMN - Minerals n.e.c.
252520,Mica powder,18,OMN - Minerals n.e.c.
252530,Mica waste,18,OMN - Minerals n.e.c.
252610,"Natural steatite, talc, not crushed or powdered",18,OMN - Minerals n.e.c.
252620,"Natural steatite, talc, crushed or powdered",18,OMN - Minerals n.e.c.
252700,Natural cryolite; natural chiolite,18,OMN - Minerals n.e.c.
252810,Natural sodium borates and concentrates thereof,18,OMN - Minerals n.e.c.
252890,Natural borates (excl. sodium) and concentrates,18,OMN - Minerals n.e.c.
252910,Felspar,18,OMN - Minerals n.e.c.
252921,Fluorspar containing by weight <=97% of calcium,18,OMN - Minerals n.e.c.
252922,Fluorspar containing by weight >97% of calcium,18,OMN - Minerals n.e.c.
252930,Leucite nepheline and nepheline syenite,18,OMN - Minerals n.e.c.
